SP_ENTITY_ID,CompanyName,CompanyType,CompanyStatus,LFY,FY-1,FY-2,FY-3,company_type_pass,company_status_pass,growth_lfy_fy1_pass,growth_fy1_fy2_pass,growth_fy2_fy3_pass,screen_pass
8251154,Telix Pharmaceuticals Limited (ASX:TLX),Public Company,Operating,516653.1228799274,333895.2127255306,111228.12704580388,5706.991010360339,True,True,True,True,True,True
8435281,Dutch Bros Inc. (NYSE:BROS),Public Company,Operating,1281015.0,965776.0,739012.0,497876.0,True,True,True,True,True,True
9098887,"Hims & Hers Health, Inc. (NYSE:HIMS)",Public Company,Operating,1476514.0,872000.0,526916.0,271878.0,True,True,True,True,True,True
9956217,Nu Holdings Ltd. (NYSE:NU),Public Company,Operating,5513233.0,3706833.0,1839417.0,850036.0,True,True,True,True,True,True
10976234,Global Blue Group Holding AG,Public Company,Operating,458056.8809119203,324427.440618677,146410.98317194098,52166.32144092072,True,True,True,True,True,True
13087393,"EVgo, Inc. (NASDAQGS:EVGO)",Public Company,Operating,256825.0,160953.0,54588.0,22214.0,True,True,True,True,True,True
13373011,"Mirum Pharmaceuticals, Inc. (NASDAQGM:MIRM)",Public Company,Operating,336888.0,186374.0,77062.0,19138.0,True,True,True,True,True,True
13597615,"Bakkt, Inc. (NYSE:BKKT)",Public Company,Operating,3490220.0,780136.0,54567.0,39437.0,True,True,True,True,True,True
14887727,Joint Stock Company Kaspi.kz (NASDAQGS:KSPI),Public Company,Operating,5435838.878402682,4175478.49583683,2760928.258513328,2074870.0138809024,True,True,True,True,True,True
17514167,Local Bounti Corporation (NYSE:LOCL),Public Company,Operating,38138.0,27557.0,19474.0,638.0,True,True,True,True,True,True
19095891,Interactive Strength Inc. (NASDAQCM:TRNR),Public Company,Operating,5380.0,962.0,681.0,323.0,True,True,True,True,True,True
19098526,The Real Brokerage Inc. (NASDAQCM:REAX),Public Company,Operating,1264639.0,689158.0,381756.0,121681.0,True,True,True,True,True,True
19243702,Odysight.ai Inc. (NASDAQCM:ODYS),Public Company,Operating,3964.0,3033.0,665.0,387.0,True,True,True,True,True,True
19659800,DraftKings Inc. (NASDAQGS:DKNG),Public Company,Operating,4767699.0,3665393.0,2240461.0,1296025.0,True,True,True,True,True,True
19871451,"GameSquare Holdings, Inc. (NASDAQCM:GAME)",Public Company,Operating,96198.101,51997.642,28082.009,10080.519058616534,True,True,True,True,True,True
25283066,Surf Air Mobility Inc. (NYSE:SRFM),Public Company,Operating,119425.0,60505.0,20274.0,11798.0,True,True,True,True,True,True
27682584,LQR House Inc. (NASDAQCM:YHC),Public Company,Operating,2501.66,1120.622,601.131,315.292,True,True,True,True,True,True
27875239,Global-E Online Ltd. (NASDAQGS:GLBE),Public Company,Operating,752764.0,569946.0,409049.0,245274.0,True,True,True,True,True,True
28743844,"PSQ Holdings, Inc. (NYSE:PSQH)",Public Company,Operating,23199.434,5685.987,475.175,8.843,True,True,True,True,True,True
29331846,ZEEKR Intelligent Technology Holding Limited,Public Company,Operating,10553072.648978593,7302145.442610411,4747970.851872136,1011991.3913939506,True,True,True,True,True,True
29657689,On Holding AG (NYSE:ONON),Public Company,Operating,2633873.067963967,1995690.060076465,1280885.9126989795,792703.4493446487,True,True,True,True,True,True
100420749,Lotus Technology Inc. (NASDAQGS:LOT),Public Company,Operating,924349.0,679008.0,9557.0,3687.0,True,True,True,True,True,True
101570773,BitFuFu Inc. (NASDAQCM:FUFU),Public Company,Operating,463330.0,284106.012,198198.774,103043.585,True,True,True,True,True,True
105643522,NaaS Technology Inc. (NASDAQCM:NAAS),Public Company,Operating,45232.004869191165,13814.601639679173,2755.5856591488646,845.8262660665237,True,True,True,True,True,True
107089758,"Abacus Global Management, Inc. (NYSE:ABX)",Public Company,Operating,111923.786,66401.451,44713.552,1199.986,True,True,True,True,True,True
108129648,Ispire Technology Inc. (NASDAQCM:ISPR),Public Company,Operating,151908.691,115605.536,88095.418,63414.783,True,True,True,True,True,True
110336920,Murano Global Investments Plc (NASDAQCM:MRNO),Public Company,Operating,40065.17356180362,16180.274511913636,319.80885926474485,75.41104481708973,True,True,True,True,True,True
113495488,"Brand Engagement Network, Inc. (NASDAQCM:BNAI)",Public Company,Operating,99.79,35.21,15.642,7.41,True,True,True,True,True,True
123916273,Yuanbao Inc. (NASDAQGM:YB),Public Company,Operating,456601.5082569888,289011.8196884386,126552.72958968706,59756.86101235831,True,True,True,True,True,True
