date,surface_id,reference_only,variant_id,net_ret,equity,notional_equity,turnover,gross_exposure,positions_count,is_observed_day,source_path
2015-01-20,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-01-21,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-01-22,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-01-23,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-01-26,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-01-27,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-01-28,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-01-29,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-01-30,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-02-02,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-02-03,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-02-04,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-02-05,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-02-06,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-02-09,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-02-10,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-02-11,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-02-12,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-02-13,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
2015-02-16,phase59_shadow_research,False,v_3516a4bd6b65,0.0,1.0,100000.0,,,,False,research_data/catalog.duckdb::allocator_state
