date,ticker,permno,lifecycle_action,buy_sell,event_weight,event_target_weight,softmax_v1_target_weight,softmax_v1_cash_residual,softmax_v1_gross_weight,sizing_eligible,eligibility_reason,factor_positive_count,factor_present_count,technical_quality,score,hold_days,source
2025-07-22,MSFT,10107,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,3,4,1.0,0.25,56,rule100_softmax_v1_history
2025-07-22,MU,53613,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,3,4,1.0,0.25,19,rule100_softmax_v1_history
2025-07-22,TSM,85442,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,2,4,1.0,0.25,49,rule100_softmax_v1_history
2025-07-23,AMAT,14702,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,3,4,1.0,0.25,5,rule100_softmax_v1_history
2025-07-23,LRCX,48486,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,3,4,1.0,0.25,51,rule100_softmax_v1_history
2025-07-23,MSFT,10107,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,3,4,1.0,0.25,57,rule100_softmax_v1_history
2025-07-23,MU,53613,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,3,4,1.0,0.25,20,rule100_softmax_v1_history
2025-07-23,TSM,85442,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,2,4,1.0,0.25,50,rule100_softmax_v1_history
2025-07-24,AMAT,14702,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,3,4,1.0,0.25,6,rule100_softmax_v1_history
2025-07-24,LRCX,48486,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,3,4,1.0,0.25,52,rule100_softmax_v1_history
2025-07-24,MSFT,10107,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,3,4,1.0,0.25,58,rule100_softmax_v1_history
2025-07-24,MU,53613,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,3,4,1.0,0.25,21,rule100_softmax_v1_history
2025-07-24,TSM,85442,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,2,4,1.0,0.25,51,rule100_softmax_v1_history
2025-07-25,AMAT,14702,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,3,4,1.0,0.25,7,rule100_softmax_v1_history
2025-07-25,LRCX,48486,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,3,4,1.0,0.25,53,rule100_softmax_v1_history
2025-07-25,MSFT,10107,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,3,4,1.0,0.25,59,rule100_softmax_v1_history
2025-07-25,MU,53613,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,3,4,1.0,0.25,22,rule100_softmax_v1_history
2025-07-25,TSM,85442,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,2,4,1.0,0.25,52,rule100_softmax_v1_history
2025-07-28,AMAT,14702,HOLD,,0.1,0.1,0.1,0.5,0.5,True,eligible_buy_or_hold,3,4,1.0,0.25,10,rule100_softmax_v1_history
