

--- ob_w_company_id_table_lms ---
                        name  nullable              type                                                                                           comment
44                          gros      True  DOUBLE PRECISION                                                                      GROSS PROFIT
45                          oope      True  DOUBLE PRECISION                                                          OTHER OPERATING EXPENSES
46                          oppl      True  DOUBLE PRECISION                                                             OPERATING P/L [=EBIT]
47                          fire      True  DOUBLE PRECISION                                                                 FINANCIAL REVENUE
48                          fiex      True  DOUBLE PRECISION                                                                FINANCIAL EXPENSES
49                          fipl      True  DOUBLE PRECISION                                                                     FINANCIAL P/L
50                          plbt      True  DOUBLE PRECISION                                                                    P/L BEFORE TAX
51                          taxa      True  DOUBLE PRECISION                                                                          TAXATION
52                          plat      True  DOUBLE PRECISION                                                                     P/L AFTER TAX
53                          exre      True  DOUBLE PRECISION                                                           EXTR. AND OTHER REVENUE
54                          exex      True  DOUBLE PRECISION                                                          EXTR. AND OTHER EXPENSES
55                          extr      True  DOUBLE PRECISION                                                               EXTR. AND OTHER P/L
56                            pl      True  DOUBLE PRECISION                                                      P/L FOR PERIOD [=NET INCOME]
57                          expt      True  DOUBLE PRECISION                                                                    EXPORT REVENUE
58                          mate      True  DOUBLE PRECISION                                                                    MATERIAL COSTS
59                          staf      True  DOUBLE PRECISION                                                                COSTS OF EMPLOYEES
60                          depr      True  DOUBLE PRECISION                                                       DEPRECIATION & AMORTIZATION
61                          inte      True  DOUBLE PRECISION                                                                     INTEREST PAID
62                            rd      True  DOUBLE PRECISION                                                   RESEARCH & DEVELOPMENT EXPENSES
63                            cf      True  DOUBLE PRECISION                                                                         CASH FLOW
64                            av      True  DOUBLE PRECISION                                                                       ADDED VALUE
65                          ebta      True  DOUBLE PRECISION                                                                            EBITDA
66                          rshf      True  DOUBLE PRECISION                                                      ROE USING P/L BEFORE TAX (%)
67                          rcem      True  DOUBLE PRECISION                                                     ROCE USING P/L BEFORE TAX (%)
68                          rtas      True  DOUBLE PRECISION                                                      ROA USING P/L BEFORE TAX (%)
69                           roe      True  DOUBLE PRECISION                                                          ROE USING NET INCOME (%)
